"Province/Region/City","Population(10,000s)",In last 24 hours,Cumulative,,,,,,,,,,,,,,,,,
"",Province/,In last 24 hours,Cumulative,,,,,,,,,,,,,,,,,
"",,,Population,,,,,,,,,,,,,,,,,
"",Region/,,,,,,,,,,,,,,,,,,,
"",,,"(10,000s)",,Confirmed,,,Suspected,,Deaths,,Confirmed,,Deaths,,,,,,
"",City,Deaths,Deaths,,,,,,,,,,,,,,,,,
"",,,,,,cas es,cas es,cases,,,,,,,,,,,,
"",ubei,,,5917,,,134,,,67,,,31,,,67466,,,2902,
Guangdong,11346,0,0,0,1350,7,,,,,,,,,,,,,,
"",enan,,,9605,,,0,,,0,,,0,,,1272,,,22,
Zhejiang,5737,2,1,0,1215,1,,,,,,,,,,,,,,
"",unan,,,6899,,,0,,,0,,,0,,,1018,,,4,
Anhui,6324,0,0,0,990,6,,,,,,,,,,,,,,
"",iangxi,,,4648,,,0,,,0,,,0,,,935,,,1,
Shandong,10047,0,0,0,758,6,,,,,,,,,,,,,,
"",iangsu,,,8051,,,0,,,0,,,0,,,631,,,0,
Chongqing,3102,0,2,0,576,6,,,,,,,,,,,,,,
"",ichuan,,,8341,,,1,,,0,,,0,,,539,,,3,
Heilongjiang,3773,1,0,0,481,13,,,,,,,,,,,,,,
"",eijing,,,2154,,,1,,,10,,,0,,,418,,,8,
Shanghai,2424,0,17,0,338,3,,,,,,,,,,,,,,
"",ebei,,,7556,,,0,,,0,,,0,,,318,,,6,
Fujian,3941,0,0,0,296,1,,,,,,,,,,,,,,
"",uangxi,,,4926,,,0,,,0,,,0,,,252,,,2,
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,
"",unnan,,,4830,,,0,,,2,,,0,,,174,,,2,
Hainan,934,0,1,0,168,5,,,,,,,,,,,,,,
"",uizhou,,,3600,,,0,,,0,,,0,,,146,,,2,
Tianjin,1560,0,11,0,136,3,,,,,,,,,,,,,,
"",hanxi,,,3718,,,0,,,0,,,0,,,133,,,0,
Liaoning,4359,0,32,0,125,1,,,,,,,,,,,,,,
"",ong Kong SAR,,,745,,,4,,,0,,,0,,,104,,,2,
Jilin,2704,0,0,0,93,1,,,,,,,,,,,,,,
"",ansu,,,2637,,,0,,,0,,,0,,,91,,,2,
Xinjiang,2487,0,0,0,76,3,,,,,,,,,,,,,,
"",ingxia,,,688,,,0,,,0,,,0,,,75,,,0,
Inner Mongolia,2534,0,0,0,75,1,,,,,,,,,,,,,,
"",aipei and environ,,,2359,,,0,,,0,,,0,,,42,,,1,
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,
"",acao SAR,,,66,,,0,,,0,,,0,,,10,,,0,
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,
"",otal,,,142823,,,143,,,143,,,31,,,80565,,,3015,
"Province/Region/City"
Province/
Region/
City
"Population(10,000s)"
Population
"(10,000s)"
In last 24 hours
In last 24 hours
Cumulative
Cumulative
Deaths
Deaths
Deaths
Deaths
"","Reporting Country/Territory/Area",,Total,,,Total,,"Totaldeaths",,Total,,"Transmissionclassification†",,Days since,
"",Monaco,1,0,0,0,Under investigation,4,,,,,,,,
"Reporting Country/Territory/Area"
eporting Country/
erritory/Area
"Totaldeaths"
Total
deaths
"Transmissionclassification†"
Transmission
classification†
North Macedonia,1,0,0,0,Imported cases only,7,,
Poland,1,0,0,0,Imported cases only,1,,
Slovenia,1,1,0,0,Imported cases only,0,,
Ukraine,1,0,0,0,Imported cases only,1,,
Liechtenstein,1,0,0,0,Imported cases only,1,,
"",erritories**,,,,,,,
Gibraltar,1,0,0,0,Imported cases only,1,,
"",outh-East Asia Region,,,,,,,
Thailand,47,4,1,0,Local transmission,0,,
India,29,23,0,0,Local transmission,0,,
Indonesia,2,0,0,0,Local transmission,3,,
Nepal,1,0,0,0,Imported cases only,41,,
Sri Lanka,1,0,0,0,Imported cases only,38,,
"",astern Mediterranean Region,,,,,,,
"Iran (IslamicRepublic of)",2922,586,92,15,Local transmission,0,,
Kuwait,58,2,0,0,Imported cases only,0,,
Bahrain,49,0,0,0,Imported cases only,2,,
Iraq,36,5,2,2,Imported cases only,0,,
"United ArabEmirates",27,0,0,0,Local transmission,1,,
Oman,15,3,0,0,Imported cases only,0,,
Lebanon,13,0,0,0,Local transmission,2,,
Qatar,8,0,0,0,Imported cases only,1,,
Pakistan,5,0,0,0,Imported cases only,2,,
Egypt,2,0,0,0,Imported cases only,3,,
Morocco,2,1,0,0,Imported cases only,0,,
Saudi Arabia,2,1,0,0,Imported cases only,0,,
Afghanistan,1,0,0,0,Imported cases only,9,,
Jordan,1,0,0,0,Imported cases only,2,,
Tunisia,1,0,0,0,Imported cases only,2,,
"",erritories**,,,,,,,
"occupied Palestinianterritory",4,4,0,0,Imported cases only,0,,
"",egion of the Americas,,,,,,,
the United States,129,21,9,3,Local transmission,0,,
Canada,30,0,0,0,Local transmission,1,,
Ecuador,7,0,0,0,Local transmission,1,,
Mexico,5,0,0,0,Imported cases only,3,,
Brazil,3,1,0,0,Imported cases only,0,,
Argentina,1,0,0,0,Imported cases only,1,,
Chile,1,0,0,0,Imported cases only,1,,
Dominican Republic,1,0,0,0,Imported cases only,3,,
"",erritories**,,,,,,,
Saint Martin,2,0,0,0,Under investigation,2,,
Saint Barthélemy,1,0,0,0,Under investigation,2,,
"",frican Region,,,,,,,
Algeria,12,7,0,0,Local transmission,0,,
Senegal,4,3,0,0,Imported cases only,0,,
Nigeria,1,0,0,0,Imported cases only,6,,
"",ubtotal for all,,14053,2089,260,53,,
14053,2089,260,53,,,,,
egions,,,,,,,,
International,706,0,6,0,Local transmission,3,,
14053
14053
2089
2089
260
260
53
53
""
""
""
""
"conveyance(Diamond Princess)",,,,,,,,,,,,,,,,,,,,
"",Grand total§,,,14759,,,2089,,,266,,,53,,,,,,,
